***Daniel P. Aalberts #  Professor of Physics # B.S. (1989) Massachusetts Institute of Technology; Ph.D. (1994) Massachusetts Inst of Technology
Tomas F. Adalsteinsson #  Assistant Professor of Physical Education and Head Women's Golf Coach #
Reinhard A. Wobus #  Edna McConnell Clark Professor of Geology # B.A. (1962) Washington University; M.A. (1963) Harvard University; Ph.D. (1966) Stanford University
*Kevin S. Wong #  Charles R. Keller Professor of History # B.A. (1976) Rutgers University; M.A. (1979) University of Michigan; Ph.D. (1992) University of Michigan
William K. Wootters #  Barclay Jermain Professor of Natural Philosophy # B.S. (1973) Stanford University; Ph.D. (1980) University of Texas Austin
Saadia R. Yacoob #  Assistant Professor of Religion #
Kasumi Yamamoto #  Professor of Japanese # B.A. (1980) Aoyama Gakuin University; M.A. (1994) Cornell University; Ph.D. (2000) Cornell University
Li Yu #  Chair and Associate Professor of Chinese # B.A. (1994) East China Normal University; M.A. (1997) Ohio State University; Ph.D. (2003) Ohio State University
Safa R. Zaki #  Professor of Psychology # B.A. (1989) American University; M.A. (1993) Arizona State University; Ph.D. (1996) Arizona State University
**Betty Zimmerberg #  Howard B. Schow '50 and Nan W. Schow Professor of Neuroscience # B.A. (1971) Harvard University; Ph.D. (1976) City University of New York
David J. Zimmerman #  Professor of Economics and Orrin Sage Professor of Political Economy # B.A. (1985) University of Toronto; M.A. (1987) Princeton University; Ph.D. (1992) Princeton University
Janneke M. van de Stadt #  Professor of Russian # B.A. (1988) Amherst College
